client_name,client_number,position_name,position_number,position_amount,pf,p,B,L,P,
S.K. Sàrl,1031,Coxinha Poulet Fromage,102,10,107,50,8,0,5,
S.K. Sàrl,1031,Sandwiches Jambon Fromage,110,3,,,,,,
S.K. Sàrl,1031,Sandwiches Poulet Curry,108,1,,,,,TOTAL,344
S.K. Sàrl,1031,Sandwiches Poulet Pané,107,1,,,,,,
S.K. Sàrl,1031,Sandwiches Thon,109,2,,,,,,
Ashanti,1027,Coxinhas Poulet,103,5,,,,,,
Priota Eaux Vives,1028,Coxinha Poulet Fromage,102,5,,,,,,
Priota Eaux Vives,1028,Coxinhas Poulet,103,4,,,,,,
Tabac Stand 1,1017,Coxinha Poulet Fromage,102,25,,,,,,
Tabac Stand 1,1017,Coxinhas Poulet,103,15,,,,,,
Mini Prix,1002,Coxinhas Poulet,103,5,,,,,,
Mini Prix,1002,Empanadas Boeuf,104,4,,,,,,
Valparaiso Tabac,1003,Coxinha Poulet Fromage,102,10,,,,,,
Epicerie Trancosense,1022,Coxinha Poulet Fromage,102,6,,,,,,
Epicerie Trancosense,1022,Coxinhas Poulet,103,6,,,,,,
Promar,1001,Coxinha Poulet Fromage,102,10,,,,,,
Promar,1001,Coxinhas Poulet,103,15,,,,,,
Promar,1001,Empanadas Boeuf,104,4,,,,,,
Promar,1001,Empanadas Poulet,106,5,,,,,,
Tabac Epicerie Du museé ,1012,Coxinha Poulet Fromage,102,10,,,,,,
Tabac Epicerie Du museé ,1012,Sandwiches Jambon Fromage,110,2,,,,,,
Tabac Epicerie Du museé ,1012,Sandwiches Poulet Curry,108,1,,,,,,
Tabac Epicerie Du museé ,1012,Sandwiches Poulet Pané,107,1,,,,,,
Tabac Epicerie Du museé ,1012,Sandwiches Thon,109,2,,,,,,
Tabac épicerie 21,1032,Coxinha Poulet Fromage,102,6,,,,,,
Monsoon Lausanne,1011,Coxinha Poulet Fromage,101,8,,,,,,
Tabac Épicerie Chene,1029,Coxinha Poulet Fromage,102,5,,,,,,
Gourmet Shop,1035,Coxinha Poulet Fromage,102,20,,,,,,
